步数,AO(角度偏差),TA(目标角度),距离(m),奖励,动作_ego,动作_enm
542,0.7021260818641083,2.5862749340572693,1613.7499617031544,0.07330906281937843,"[[29, 0, 9, 29]]","[[2, 0, 1, 29]]"
543,0.6733520983287705,2.6218718106707124,1553.5110647705233,0.07055165525633764,"[[6, 0, 1, 29]]","[[6, 0, 1, 29]]"
544,0.6444130418363497,2.649082408121342,1491.958152471014,0.0677903598766726,"[[29, 0, 2, 29]]","[[33, 0, 1, 29]]"
545,0.6158593555095392,2.677334089238556,1429.3182872849436,0.06508166097406314,"[[6, 0, 1, 29]]","[[6, 0, 1, 29]]"
546,0.5798022196930058,2.713794573959931,1365.4544240114267,0.061639326811832956,"[[6, 0, 2, 29]]","[[6, 0, 1, 29]]"
547,0.5518936560920731,2.7418081382679977,1300.4418190219008,0.05903125844446118,"[[33, 0, 2, 29]]","[[33, 0, 9, 29]]"
548,0.5232382318268238,2.7709298468726287,1234.4847740033724,0.05637081761370105,"[[6, 0, 1, 29]]","[[6, 0, 1, 29]]"
549,0.48623188827208635,2.8083807476033344,1167.4911605020986,0.05290221135558747,"[[1, 0, 1, 29]]","[[1, 0, 5, 29]]"
550,0.45731215448665946,2.837476535730702,1099.5328267053674,0.050274469296866325,"[[29, 0, 9, 29]]","[[29, 0, 9, 28]]"
551,0.4271538442320144,2.867843331450262,1030.763658678401,0.04756145547633832,"[[6, 0, 1, 29]]","[[6, 0, 1, 28]]"
552,0.38831989346335927,2.9068691358442327,961.1528120101415,0.04402866906039709,"[[1, 0, 1, 29]]","[[1, 0, 24, 29]]"
553,0.35740812035303593,2.9375624198192303,890.7721944682942,0.041347625110453555,"[[29, 0, 9, 28]]","[[29, 1, 9, 28]]"
554,0.32484253064904023,2.969724496372955,819.7243354401179,0.038576432599605796,"[[6, 0, 1, 29]]","[[6, 0, 24, 28]]"
555,0.29120616314081293,3.00286433767777,748.0494872723183,0.03579574270420489,"[[29, 0, 24, 29]]","[[33, 1, 24, 28]]"
556,0.2572580989375495,3.036260118314388,675.8281414889277,0.033113209579886047,"[[1, 0, 24, 28]]","[[1, 1, 24, 28]]"
557,0.21388985896833373,3.079007457184068,603.1781166147289,0.02966469112762774,"[[1, 0, 24, 29]]","[[1, 1, 24, 28]]"
558,0.1759289956529354,3.1161492576708056,530.1957495698127,0.02700562548422123,"[[29, 1, 9, 28]]","[[33, 1, 2, 21]]"
559,0.1342204805504279,3.125777208226429,456.8990811382945,0.024341484686298886,"[[1, 0, 24, 28]]","[[1, 1, 24, 28]]"
560,0.0783364166024305,3.0784139848980607,383.51519907325326,0.020837028813861028,"[[1, 1, 24, 24]]","[[29, 1, 24, 13]]"
561,0.02159859714637996,3.036976996522855,310.10419993635185,0.018231645312591797,"[[35, 1, 2, 28]]","[[33, 1, 24, 25]]"
562,0.051547141430808255,2.9801269554854795,236.70759591635078,0.026188959938741044,"[[1, 1, 24, 21]]","[[8, 1, 24, 19]]"
563,0.16448444793028846,2.8687351620637433,164.14676904297903,0.046724544222493086,"[[29, 1, 24, 19]]","[[8, 0, 24, 21]]"
564,0.4073494842204525,2.618834915386638,94.76917174531962,0.09294381594046312,"[[1, 1, 24, 19]]","[[8, 1, 24, 21]]"
565,1.3177479520793756,1.7085430925042486,46.22106588087004,0.23765974097799003,"[[6, 1, 24, 21]]","[[6, 1, 24, 27]]"
566,2.506068997550769,0.5294846749329566,79.59191353449401,0.31264786367709574,"[[6, 0, 24, 28]]","[[29, 1, 24, 27]]"
567,2.8240374150272607,0.21020123584145936,146.71027854196382,0.3162537893758639,"[[33, 0, 5, 28]]","[[6, 0, 1, 27]]"
568,2.9421503863859155,0.07619524663083875,218.35335656320888,0.31700931030299256,"[[33, 0, 18, 28]]","[[33, 0, 5, 28]]"
569,3.0132972481769538,0.008424272905943313,291.183700365831,0.31844224681580724,"[[8, 0, 6, 28]]","[[8, 0, 5, 28]]"
570,3.0778430673915684,0.0778371124235529,364.2906961391044,0.32147203558866466,"[[8, 0, 5, 28]]","[[8, 0, 5, 29]]"
571,3.1285744564389777,0.12599804757302785,437.2861264689545,0.32426551835722417,"[[33, 0, 5, 28]]","[[33, 0, 5, 28]]"
572,3.1106629849143475,0.16939549491353642,510.1444841403938,0.32084826847279657,"[[7, 0, 5, 28]]","[[10, 0, 5, 28]]"
573,3.06419218422126,0.21604831557512452,582.5467887575676,0.31498751165298333,"[[7, 0, 5, 29]]","[[10, 0, 5, 29]]"
574,3.0296386379780937,0.2506112992784958,654.4365796975354,0.31059236692820735,"[[33, 0, 18, 28]]","[[33, 0, 5, 28]]"
575,2.9953454324796205,0.2852444188128523,725.9823492087847,0.30641228932452336,"[[7, 0, 1, 29]]","[[10, 0, 1, 29]]"
576,2.9549031398192347,0.3260613988917426,796.8306554167065,0.30175730806901896,"[[7, 0, 5, 29]]","[[10, 0, 5, 29]]"
577,2.924650287923003,0.3564095212299416,866.9504344830442,0.29822572640976047,"[[33, 0, 18, 28]]","[[33, 0, 5, 28]]"
578,2.8934432705640765,0.38786485585476127,936.5762217908248,0.2946772268076937,"[[10, 0, 1, 29]]","[[10, 0, 1, 29]]"
579,2.8551511294385934,0.4185182904227371,1005.3572394396434,0.2904835275426196,"[[0, 0, 5, 29]]","[[33, 0, 5, 29]]"
580,2.8264329811672266,0.44872127046038746,1073.3807818751725,0.2872971415997318,"[[33, 0, 18, 28]]","[[10, 0, 5, 29]]"
581,2.7966752859325124,0.4858623143377644,1140.5503905805228,0.28404753673065575,"[[10, 0, 1, 29]]","[[10, 0, 5, 29]]"
582,2.759539621601236,0.5137227737351299,1206.6529425809604,0.2800942245018144,"[[0, 0, 5, 29]]","[[33, 0, 5, 29]]"
583,2.7318508424842194,0.5422969788739519,1271.8628552651383,0.27711323721424835,"[[33, 0, 18, 28]]","[[10, 0, 1, 29]]"
584,2.7028963424149843,0.5785849293860197,1336.0734237797778,0.2740291446611024,"[[10, 0, 1, 29]]","[[10, 0, 5, 29]]"
585,2.666398784090167,0.6056502971496782,1399.0487860780445,0.2702111825305013,"[[3, 0, 5, 29]]","[[33, 0, 5, 29]]"
586,2.6393246967899033,0.6338794350482809,1460.9880369321372,0.26735247030395587,"[[33, 0, 5, 29]]","[[10, 0, 1, 29]]"
587,2.6108623797917376,0.6699171697403338,1521.7816470199984,0.26436970282115213,"[[10, 0, 1, 29]]","[[10, 0, 5, 29]]"
588,2.58257372022496,0.6966897914749839,1581.2416824849759,0.26141744551528084,"[[33, 0, 5, 29]]","[[33, 0, 5, 29]]"
589,2.5541350442083504,0.7248446698191157,1639.7100906452877,0.2584609654125777,"[[10, 0, 1, 29]]","[[10, 0, 1, 29]]"
590,2.5186151072926863,0.7606803954448681,1696.6340025766276,0.2548067863260175,"[[0, 0, 1, 29]]","[[10, 0, 5, 29]]"
591,2.492137102705839,0.7872013280293247,1752.0299517450992,0.2520659148179293,"[[33, 0, 1, 29]]","[[33, 0, 5, 29]]"
592,2.4646371561510705,0.815155069661352,1806.343759071168,0.24923020648044725,"[[10, 0, 1, 29]]","[[10, 0, 1, 29]]"
593,2.4293920548804087,0.8429487252071469,1859.0577541885502,0.24562729406418363,"[[0, 0, 1, 29]]","[[33, 0, 5, 29]]"
594,2.4031537612450404,0.8705345223236642,1910.3497856105064,0.24293132849368432,"[[33, 0, 1, 29]]","[[10, 0, 1, 29]]"
595,2.375618717185455,0.9053171518338161,1960.1560304862592,0.24011138839252488,"[[10, 0, 1, 29]]","[[7, 0, 1, 29]]"
596,2.3402835383918297,0.9313378349049686,2008.1814690856831,0.23651692944916775,"[[0, 0, 1, 29]]","[[33, 0, 1, 29]]"
597,2.314074304736413,0.9581850342298337,2054.696465732035,0.2338396961720792,"[[33, 0, 1, 29]]","[[10, 0, 1, 29]]"
598,2.2865126520945718,0.9929024865338991,2099.6164662454053,0.231031518854206,"[[10, 0, 1, 29]]","[[7, 0, 1, 29]]"
599,2.251152488737265,1.0187762570922407,2142.6303502731207,0.22744774057378245,"[[4, 0, 1, 29]]","[[33, 0, 1, 29]]"
600,2.22497755567932,1.045823736863606,2184.0211635560836,0.2247860629232084,"[[33, 0, 1, 29]]","[[10, 0, 1, 29]]"
601,2.1974343532932075,1.0807625052408971,2223.7032998056193,0.2219909260398514,"[[10, 0, 1, 29]]","[[4, 0, 1, 29]]"
602,2.1620738210387946,1.1066917554674531,2261.361112030574,0.21841746252535219,"[[4, 0, 1, 29]]","[[33, 0, 1, 29]]"
603,2.1359344692656945,1.1338350635537267,2297.2928880187696,0.2157689746959262,"[[33, 0, 1, 29]]","[[10, 0, 1, 29]]"
604,2.108391939380832,1.168842951805469,2331.419474114256,0.21298289066823453,"[[10, 0, 1, 29]]","[[4, 0, 1, 29]]"
605,2.0730043226582513,1.1947708465998044,2363.4205514313935,0.20941511528910248,"[[4, 0, 1, 29]]","[[33, 0, 1, 29]]"
