步数,AO(角度偏差),TA(目标角度),距离(m),奖励,动作_ego,动作_enm
172,1.681724097354127,1.4042699667802283,2869.9672963226817,0.16991398303943617,"[[33, 0, 1, 29]]","[[5, 0, 2, 29]]"
173,1.6536182728017028,1.431390914578704,2880.294531150242,0.16709715837733652,"[[4, 0, 1, 29]]","[[29, 0, 9, 29]]"
174,1.6190509380169358,1.4598185208157206,2888.2460866264073,0.16363564905731676,"[[0, 0, 1, 29]]","[[6, 0, 2, 29]]"
175,1.5924755098392502,1.4955351800897472,2893.49736062902,0.16097496662023209,"[[33, 0, 2, 29]]","[[5, 0, 2, 29]]"
176,1.5650143580223388,1.5229729691678995,2896.3843389380745,0.158227130226962,"[[4, 0, 1, 29]]","[[29, 0, 9, 29]]"
177,1.530410442014314,1.5519025885382456,2896.8768225000085,0.1547664453507068,"[[4, 0, 1, 29]]","[[6, 0, 2, 29]]"
178,1.5039772395732127,1.5807614636949519,2894.7524436652748,0.15212439089355678,"[[33, 0, 2, 29]]","[[29, 0, 2, 29]]"
179,1.4761749916656877,1.6090508212657113,2890.5449753614917,0.14934667856464295,"[[4, 0, 1, 29]]","[[5, 0, 2, 29]]"
180,1.4411315156430597,1.643817854453817,2883.6316074023694,0.1458464751496017,"[[4, 0, 1, 29]]","[[5, 0, 2, 29]]"
181,1.4144799821322822,1.6708891172942506,2874.096315115053,0.14318707038751116,"[[29, 0, 2, 29]]","[[29, 0, 2, 29]]"
182,1.3863399714214066,1.6987191111776356,2862.530383819036,0.14038009350914746,"[[4, 0, 1, 29]]","[[5, 0, 2, 29]]"
183,1.3581912291291902,1.7338551457867104,2848.374865044728,0.1375738937790969,"[[33, 0, 2, 29]]","[[5, 0, 2, 29]]"
184,1.330311736843848,1.7609592124355276,2831.8821001614033,0.13479616065638592,"[[4, 0, 1, 29]]","[[29, 0, 9, 29]]"
185,1.2959628151714657,1.7894139229903798,2813.082005106969,0.13137305987361453,"[[4, 0, 1, 29]]","[[6, 0, 2, 29]]"
186,1.269464032390189,1.8178316722422148,2791.790933648523,0.12873672701147112,"[[33, 0, 2, 29]]","[[31, 0, 2, 29]]"
187,1.2422141976763292,1.8455988338732268,2768.517561819283,0.12602678835201392,"[[0, 0, 1, 29]]","[[6, 0, 2, 29]]"
188,1.207717943846789,1.8799406282772078,2742.7322689264784,0.12259412962366209,"[[0, 0, 1, 29]]","[[6, 0, 2, 29]]"
189,1.1812403778931915,1.9067333848039572,2714.519197877225,0.1199653063039769,"[[33, 0, 2, 29]]","[[29, 0, 2, 29]]"
190,1.1535389300871408,1.9342368802745562,2684.4182207646063,0.11721580038736305,"[[0, 0, 1, 29]]","[[6, 0, 2, 29]]"
191,1.118506858434896,1.9691439067786436,2651.879483201955,0.11373543033778724,"[[4, 0, 2, 29]]","[[6, 0, 2, 29]]"
192,1.0917160624772655,1.9961719469390238,2616.9926619839794,0.11108146645192242,"[[29, 0, 2, 29]]","[[29, 0, 9, 29]]"
193,1.0636052198719146,2.0244172869666532,2580.2692933647086,0.10829755351383333,"[[0, 0, 1, 29]]","[[6, 0, 2, 29]]"
194,1.028172129900149,2.0526725704285744,2541.267353120377,0.10478396129202294,"[[4, 0, 2, 29]]","[[31, 0, 2, 29]]"
195,1.001169261424315,2.080304577662,2500.2502547541244,0.102115926438582,"[[29, 0, 9, 29]]","[[6, 0, 2, 29]]"
196,0.9727255821717344,2.114534446941125,2457.2610182485673,0.09930651635379247,"[[0, 0, 1, 29]]","[[6, 0, 2, 29]]"
197,0.9442604510846981,2.141317818271768,2412.175299146323,0.09649800399258768,"[[33, 0, 2, 29]]","[[29, 0, 2, 29]]"
198,0.9162204546912992,2.168780405067419,2365.400196314498,0.09373495942501413,"[[0, 0, 1, 29]]","[[6, 0, 2, 29]]"
