Time_s,Agent_ID,X_m,Y_m,Z_m,Altitude_m,Status
32.4,B0100,34329.87389801224,9.189259068813044,1106.1007084584635,1198.3891303660066,ALIVE
32.4,B0200,34530.1070247365,396.27469608385036,8428.112139963028,8521.385564336864,ALIVE
32.6,A0100,-31871.134478329244,134.46798249063613,2349.3219887017804,2428.8526186433405,ALIVE
32.6,A0200,-32777.73075573986,261.67023358108054,2426.354968534659,2510.4774046909333,ALIVE
32.6,B0100,34280.18562107109,9.65105458142898,1049.5900170836594,1141.612299111414,ALIVE
32.6,B0200,34477.99157048386,391.70022986403274,8450.429285670169,8543.420806965423,ALIVE
32.800000000000004,A0100,-31789.760088438477,136.3931673194311,2306.275713240424,2385.4013223108263,ALIVE
32.800000000000004,A0200,-32708.56627443565,256.8352245881233,2388.1543882612514,2471.922511873189,ALIVE
32.800000000000004,B0100,34230.74554111769,10.124630893238646,992.8461300367271,1084.6039881225317,ALIVE
32.800000000000004,B0200,34425.982048274236,386.9869323102321,8472.749318710225,8565.459929057175,ALIVE
33.0,A0100,-31708.388149290575,138.24937292327377,2263.0003328835573,2341.7219666180044,ALIVE
33.0,A0200,-32639.377668876994,252.14755518373386,2349.9612647586364,2433.3757067283423,ALIVE
33.0,B0100,34181.55508880756,10.610144839869463,935.8717380350372,1027.3668899902761,ALIVE
33.0,B0200,34374.078211682696,382.13056819184385,8495.069955544495,8587.500643239247,ALIVE
33.2,A0100,-31626.992249750012,140.0988152064856,2219.545634104861,2297.864207810122,ALIVE
33.2,A0200,-32570.173837395407,247.62703835031425,2311.764286159545,2394.825724161163,ALIVE
33.2,B0100,34132.61567507416,11.107752929310664,878.6695527713382,969.9037181618482,ALIVE
33.2,B0200,34322.27980330038,377.1267872990138,8517.38880379315,8609.540553268916,ALIVE
33.4,A0100,-31545.590378866364,141.99429877697185,2175.867935447597,2253.7844558925212,ALIVE
33.4,A0200,-32500.964808035245,243.2917909466505,2273.5505001123183,2356.2596638632776,ALIVE
33.4,B0100,34083.92869057303,11.617611298481279,821.2423064776485,912.2172065047146,ALIVE
33.4,B0200,34270.58655300252,371.97112382650994,8539.703354290376,8631.577146084184,ALIVE
33.6,A0100,-31464.209829628264,143.88752673353702,2131.929561127492,2209.4451691739205,ALIVE
33.6,A0200,-32431.761630175853,239.15801124492464,2235.3055070666087,2317.663182995358,ALIVE
33.6,B0100,34035.495505133804,12.139875657003358,763.5927514642826,854.3101088399292,ALIVE
