Time_s,Missile_ID,Launcher_ID,Type,Status,X_m,Y_m,Z_m,Velocity_m_s,Target_ID,Distance_to_Target_km,Data_Type
165.4,A1002,A0100,AIM-120C-7,ACTIVE,23365.644892378885,22216.286923759184,8280.993087640769,379.0983906305864,B0100,23.118793648103633,Trajectory
165.60000000000002,A1001,A0100,AIM-120C-7,ACTIVE,23278.13360934506,22660.308796409674,8265.172688883335,371.8509663865256,B0100,22.833080277799056,Trajectory
165.60000000000002,A1002,A0100,AIM-120C-7,ACTIVE,23394.99747718096,22285.88480284007,8286.9540767575,378.54826477451576,B0100,23.10960196776821,Trajectory
165.8,A1001,A0100,AIM-120C-7,ACTIVE,23307.040647646045,22728.5217131995,8271.086736839528,371.31347785621017,B0100,22.82532195369272,Trajectory
165.8,A1002,A0100,AIM-120C-7,ACTIVE,23424.294847068915,22355.390394538084,8292.868605722557,378.00043363843207,B0100,23.100628263188785,Trajectory
166.0,A1001,A0100,AIM-120C-7,ACTIVE,23335.899897383544,22796.642096632182,8276.952928937228,370.7780633765143,B0100,22.817793610948883,Trajectory
166.0,A1002,A0100,AIM-120C-7,ACTIVE,23453.53874433932,22424.803491630482,8298.735813297075,377.45486029234775,B0100,23.091883957575728,Trajectory
166.20000000000002,A1001,A0100,AIM-120C-7,ACTIVE,23364.713395719296,22864.669585386047,8282.770761814572,370.24500648443853,B0100,22.810498910034944,Trajectory
166.20000000000002,A1002,A0100,AIM-120C-7,ACTIVE,23482.73129876699,22494.12374029654,8304.555190624587,376.9118480832083,B0100,23.08337184263741,Trajectory
166.4,A1001,A0100,AIM-120C-7,ACTIVE,23393.483291124172,22932.60378273351,8288.540188449999,369.71449211030983,B0100,22.803435271444524,Trajectory
166.4,A1002,A0100,AIM-120C-7,ACTIVE,23511.874750513718,22563.350753646486,8310.326681625284,376.3715677711199,B0100,23.075089271928835,Trajectory
166.60000000000002,A1001,A0100,AIM-120C-7,ACTIVE,23422.211627253415,23000.44433950475,8294.261610552221,369.18677099528725,B0100,22.79659542295458,Trajectory
166.60000000000002,A1002,A0100,AIM-120C-7,ACTIVE,23540.97123403114,22632.484190310654,8316.050675286908,375.83426312791846,B0100,23.067028748644134,Trajectory
166.8,A1001,A0100,AIM-120C-7,ACTIVE,23450.900949649982,23068.190707490663,8299.93612530216,368.66210369188406,B0100,22.789964320672038,Trajectory
166.8,A1002,A0100,AIM-120C-7,ACTIVE,23570.0233842328,22701.52352139275,8321.728251638337,375.30028554707627,B0100,23.059173108684767,Trajectory
167.0,A1001,A0100,AIM-120C-7,ACTIVE,23479.55453624551,23135.842000396482,8305.564658910882,368.13967614854937,B0100,22.78352859430776,Trajectory
167.0,A1002,A0100,AIM-120C-7,ACTIVE,23599.034568398598,22770.46789845595,8327.360322746012,374.7688211349756,B0100,23.051509208868943,Trajectory
