Time_s,Missile_ID,Launcher_ID,Type,Status,X_m,Y_m,Z_m,Velocity_m_s,Target_ID
102.2,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
102.4,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
102.4,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
102.60000000000001,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
102.60000000000001,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
102.80000000000001,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
102.80000000000001,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
103.0,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
103.0,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
103.2,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
103.2,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
103.4,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
103.4,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
103.60000000000001,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
103.60000000000001,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
103.80000000000001,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
103.80000000000001,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
104.0,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
104.0,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
104.2,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
104.2,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
104.4,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
104.4,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
104.60000000000001,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
104.60000000000001,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
104.80000000000001,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
104.80000000000001,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
105.0,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
105.0,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
105.2,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
105.2,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
105.4,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
105.4,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
105.60000000000001,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
105.60000000000001,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
105.80000000000001,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
105.80000000000001,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
106.0,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
106.0,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
106.2,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
106.2,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
106.4,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
106.4,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
106.60000000000001,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
106.60000000000001,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
