time,missile_id,launcher_id,target_id,x,y,z,speed,distance_to_target,guidance_mode
194.0,A1001,A0100,B0100,20450.14965929149,4083.607551087058,7165.348813626095,631.8141268925192,2860.817473359354,TERMINAL
194.0,A2001,A0200,B0100,-8791.79269222345,21114.04151574084,5511.275210310356,324.0662155170585,35933.875690057685,MID_COURSE
196.0,A1001,A0100,B0100,21351.217093859697,4738.696873910886,6627.144317015468,605.7576291148781,1536.0167559140293,TERMINAL
196.0,A2001,A0200,B0100,-8163.823999639072,20975.46533538071,5531.579021633522,319.4215912960968,34811.73400647417,MID_COURSE
198.0,A1001,A0100,B0100,22183.518248640765,5254.66508136778,5966.978924356643,577.007128763508,75.03279250639582,TERMINAL
198.0,A2001,A0200,B0100,-7546.312967018613,20833.940986695015,5551.685631153583,314.178685071833,33624.40180683839,MID_COURSE
200.0,A2001,A0200,B0100,-6944.369744896009,20676.85386840975,5576.787150379268,308.441280618118,0,MID_COURSE
202.0,A2001,A0200,B0100,-6358.499478520187,20505.17746060782,5608.165391734793,302.8727845534819,0,MID_COURSE
204.0,A2001,A0200,B0100,-5787.994244789719,20321.891878258604,5644.701861303116,297.46059419421215,0,MID_COURSE
206.0,A2001,A0200,B0100,-5232.083212904135,20129.524486768016,5685.436254739262,292.1927843214253,0,MID_COURSE
208.0,A2001,A0200,B0100,-4689.980839753776,19930.20974391459,5729.546983808978,287.0588109477128,0,MID_COURSE
210.0,A2001,A0200,B0100,-4160.919101236425,19725.743439352143,5776.333599329819,282.0493724421443,0,MID_COURSE
212.0,A2001,A0200,B0100,-3644.1679267298914,19517.630930351712,5825.201074224605,277.1562710045365,0,MID_COURSE
214.0,A2001,A0200,B0100,-3139.0470615150434,19307.129505378507,5875.645818052035,272.37227828517035,0,MID_COURSE
216.0,A2001,A0200,B0100,-2644.9318412393554,19095.285263226517,5927.243285025415,267.6910083446242,0,MID_COURSE
218.0,A2001,A0200,B0100,-2161.2547626517617,18882.96501680643,5979.637036076498,263.1068003137059,0,MID_COURSE
220.0,A2001,A0200,B0100,-1687.504257826625,18670.88376873474,6032.529118983503,258.6146122480573,0,MID_COURSE
222.0,A2001,A0200,B0100,-1223.221705643575,18459.628295310966,6085.671636933683,254.2099268898452,0,MID_COURSE
224.0,A2001,A0200,B0100,-767.9974259963061,18249.67733896697,6138.859383796794,249.88866940422068,0,MID_COURSE
226.0,A2001,A0200,B0100,-321.46618259537524,18041.418861076854,6191.923432996927,245.6471366669686,0,MID_COURSE
228.0,A2001,A0200,B0100,116.69744484253538,17835.164755670055,6244.725575662841,241.4819373352807,0,MID_COURSE
230.0,A2001,A0200,B0100,546.7835805793351,17631.16337486358,6297.15351240208,237.38994171729712,0,MID_COURSE
232.0,A2001,A0200,B0100,969.0513158701016,17429.610171116874,6349.116711406256,233.36824034453812,0,MID_COURSE
234.0,A2001,A0200,B0100,1383.732629873976,17230.656720650968,6400.542853561659,229.41411012051833,0,MID_COURSE
236.0,A2001,A0200,B0100,1791.035928222599,17034.41835667526,6451.374792764526,225.52498694680338,0,MID_COURSE
238.0,A2001,A0200,B0100,2191.1491896253374,16840.98061010983,6501.567966706294,221.6984437956163,0,MID_COURSE
