步数,时间(秒),AO(度),TA(度),距离(m),奖励,动作_ego,动作_enm,ego_x,ego_y,ego_z,enm_x,enm_y,enm_z,ego_alt(km),enm_alt(km),relative_alt(km),ego_speed_mach,enm_speed_mach,energy_diff,advantage_score
238,47.6,58.56770581536611,131.35107595773465,6138.484456373523,0.17370158541119451,"[[0, 0, 0]]","[[0, 2, 0]]",-571.1704139104904,-2474.7875686723996,9440.52541335066,4444.56780168526,1064.0486204937097,8950.604503711938,9.440525413350661,8.950604503711938,0.48992090963872315,0.42905274779890346,0.40770070263464553,0.4903479505420094,0
239,47.800000000000004,57.4453493094535,132.05144882430824,6106.8640462927915,0.24711451482303914,"[[0, 0, 0]]","[[0, 1, 0]]",-572.6279841531668,-2447.4986382246643,9450.643292160094,4441.548953249508,1038.447161744506,8960.728698018847,9.450643292160093,8.960728698018848,0.4899145941412453,0.4280409963258351,0.4069986034634106,0.49033544199849466,0
240,48.0,56.2629482554592,132.37571163252366,6074.658578052407,0.3315334859269399,"[[0, 0, 0]]","[[0, 0, 0]]",-573.3463451671123,-2420.250236382763,9460.747475454646,4438.127920644218,1012.911939078293,8970.708830657251,9.460747475454646,8.970708830657252,0.49003864479739434,0.42698836366907683,0.4055682041976722,0.4904670479868223,0
241,48.2,55.02165877520778,132.64614525325857,6041.950529249159,0.3566713716811023,"[[0, 0, 0]]","[[0, 0, 0]]",-573.3003699372721,-2393.0483279976556,9470.795222096187,4434.423638098907,987.4644226412566,8980.509693138654,9.470795222096188,8.980509693138654,0.49028552895753386,0.4259327390324274,0.40375964149515986,0.4907289909082788,0
242,48.400000000000006,53.860315057704916,133.06623294442082,6008.740405137057,0.332710130688497,"[[0, 4, 0]]","[[0, 0, 0]]",-572.4892035536441,-2365.891783891247,9480.715567555833,4430.409406182745,962.165721174485,8990.193323514519,9.480715567555833,8.99019332351452,0.4905222440413137,0.42482712829269814,0.4016363894568365,0.4909860588180308,0
243,48.6,52.92954427011085,133.70473007292105,5975.014088622432,0.27893174176335833,"[[0, 4, 0]]","[[0, 0, 0]]",-570.9942195903232,-2338.750923864782,9490.460444277445,4426.009097278127,937.0316101936456,8999.873316084317,9.490460444277446,8.999873316084317,0.49058712819312866,0.4245441115189036,0.40108283415683327,0.49105635374036893,0
244,48.800000000000004,52.29035170716445,134.45389934774715,5940.7931556669655,0.23297978064135805,"[[0, 0, 0]]","[[0, 0, 0]]",-568.9450430606048,-2311.6024243502798,9500.0207912917,4421.147542197509,912.0599818224666,9009.646063016253,9.5000207912917,9.009646063016254,0.49037472827544626,0.4242417253010188,0.4004752068151774,0.4908500586451634,0
245,49.0,51.63954529816137,135.31036778645648,5906.125632027027,0.20268177878486426,"[[0, 0, 0]]","[[0, 0, 0]]",-566.4210476697854,-2284.4550435804795,9509.417105465713,4415.7898879356735,887.2785792857322,9019.521233391579,9.509417105465714,9.019521233391579,0.48989587207413443,0.4238906928266474,0.39979845766138067,0.4903777167774397,0
246,49.2,50.86014239406745,136.28863905679188,5870.994788929704,0.17498350819731456,"[[0, 0, 0]]","[[0, 0, 0]]",-563.3824015454993,-2257.40383735119,9518.700358696979,4409.893133196559,862.7099854405097,9029.485594443577,9.518700358696979,9.029485594443576,0.4892147642534024,0.4218156554241898,0.3990305792070116,0.4896704657777473,0
247,49.400000000000006,49.844335789727985,137.38266346635123,5835.341579540226,0.15323894909604974,"[[0, 0, 0]]","[[0, 0, 0]]",-559.7585500348305,-2230.5267986627373,9527.932181611803,4403.412839737606,838.3722067878102,9039.503958486352,9.527932181611803,9.039503958486351,0.4884282231254513,0.420843809310893,0.39819050787496674,0.48888128915417006,0
248,49.6,48.73633797109406,138.5588680750809,5799.057119752013,0.12945596752030042,"[[0, 0, 0]]","[[0, 0, 0]]",-555.469269758356,-2203.8217591861503,9537.177136759341,4396.312945938127,814.276378127901,9049.529730992448,9.537177136759341,9.049529730992449,0.4876474057668929,0.41987877494812587,0.39732514544867004,0.488098478356882,0
249,49.800000000000004,47.57327316145457,139.67335191355738,5762.113273598929,0.13637804007957754,"[[0, 0, 0]]","[[0, 2, 0]]",-550.4946831042125,-2177.3041598552454,9546.41988123995,4388.586885789068,790.4260559163376,9059.506987960593,9.54641988123995,9.059506987960592,0.48691289327935827,0.4189598009968068,0.39635053063234843,0.487365078686647,0
