Time,Agent,X,Y,Altitude_m,Heading_deg,Speed_mps,Missiles,Status
38.0,A0100,13354752.260843897,6684447.828105777,2741.2567657592385,0.29133140099082544,193.91126827731733,2,ALIVE
38.0,A0200,13355867.279933117,6684445.328390776,2747.53833813487,356.5840444796855,192.9273497006608,2,ALIVE
38.0,B0100,13362133.006811183,6763016.110152871,2758.2059050967127,165.16016093570292,192.78681880002372,2,ALIVE
38.0,B0200,13363246.2068112,6763016.110152865,2758.2059050989837,165.16016093574763,192.78681880003919,2,ALIVE
39.0,A0100,13354731.263368782,6684503.12871592,2553.1735558239698,7.715187172649187,195.9453684368786,2,ALIVE
39.0,A0200,13355844.761542207,6684497.622261067,2559.6727191718164,8.802793428699225,194.9669088473871,2,ALIVE
39.0,B0100,13362161.177854612,6762967.931294607,2569.5023853273333,190.18497384316564,194.97007291434423,2,ALIVE
39.0,B0200,13363274.377854625,6762967.931294601,2569.50238533074,190.18497384318988,194.97007291435938,2,ALIVE
40.0,A0100,13354704.121723104,6684607.054591791,2385.3722932119995,343.8444902226752,196.61128842277432,2,ALIVE
40.0,A0200,13355821.33961688,6684598.757449774,2391.170189754331,345.34734361949677,195.6465965065942,2,ALIVE
40.0,B0100,13362181.020357868,6762870.416704286,2398.682724955532,167.51504757284874,195.7937632803222,2,ALIVE
40.0,B0200,13363294.220357876,6762870.416704276,2398.6827249600738,167.51504757287913,195.79376328033734,2,ALIVE
41.0,A0100,13354583.229795087,6684726.716265631,2239.749458159253,314.40066593862593,196.51002528563137,2,ALIVE
41.0,A0200,13355707.409848997,6684718.265043769,2245.3233083060413,316.1806506396001,195.5031677709422,2,ALIVE
41.0,B0100,13362288.567876713,6762750.599093075,2251.2038197672696,138.55672761635483,195.72908909883313,2,ALIVE
41.0,B0200,13363401.76787672,6762750.599093061,2251.203819772947,138.55672761639326,195.72908909884856,2,ALIVE
42.0,A0100,13354371.65584333,6684811.280301044,2095.967356664524,284.4931394071391,196.6044359963976,2,ALIVE
42.0,A0200,13355499.902717646,6684805.609872379,2103.1537893392447,286.2592951077738,195.47129776591618,2,ALIVE
42.0,B0100,13362495.59757619,6762659.277487421,2109.458202161881,108.53265420430282,195.65999575839757,2,ALIVE
42.0,B0200,13363608.797576196,6762659.277487408,2109.4582021675587,108.53265420435106,195.6599957584128,2,ALIVE
43.0,A0100,13354162.627034858,6684839.899311957,1930.2403989561528,257.534557205512,197.95533745232717,2,ALIVE
43.0,A0200,13355286.876259675,6684836.916854356,1940.6479903973939,258.6892978197697,196.6577056554045,2,ALIVE
43.0,B0100,13362717.252401222,6762624.014132349,1948.8782751280369,80.57901345882875,196.7647382608572,2,ALIVE
43.0,B0200,13363830.452401226,6762624.014132336,1948.8782751337142,80.57901345887737,196.76473826087062,2,ALIVE
44.0,A0100,13354052.773660095,6684845.713047654,1738.1979912316294,356.6270833470293,200.38086391791884,2,ALIVE
44.0,A0200,13355167.597215604,6684841.16647625,1751.378872762531,324.72466590048106,198.93765230915304,2,ALIVE
44.0,B0100,13362848.593484432,6762619.727966247,1761.0354100484133,101.99211645800003,198.97798175210337,2,ALIVE
44.0,B0200,13363961.793484433,6762619.727966231,1761.035410055226,101.99211645729496,198.97798175211702,2,ALIVE
45.0,A0100,13354032.833693909,6684888.401523685,1541.1896189493837,358.4397979146707,201.7123986416775,2,ALIVE
45.0,A0200,13355145.462026566,6684877.425047232,1554.534863921562,1.0035717540690172,200.37971020947307,2,ALIVE
45.0,B0100,13362875.608383065,6762587.552010125,1563.4484307497085,182.75320115455696,200.64033671980394,2,ALIVE
45.0,B0200,13363988.80838307,6762587.552010109,1563.4484307565212,182.75320115461489,200.6403367198227,2,ALIVE
46.0,A0100,13353967.13516102,6684978.264448785,1362.1960698731573,323.28966952425634,202.25581542473938,2,ALIVE
46.0,A0200,13355090.677536584,6684963.730470153,1374.443138540125,326.8224015612701,200.8991668485265,2,ALIVE
46.0,B0100,13362924.818638459,6762503.445008822,1381.570936620462,149.44586048551048,201.2036771209826,2,ALIVE
46.0,B0200,13364038.018638464,6762503.44500881,1381.570936627275,149.4458604855915,201.20367712100392,2,ALIVE
47.0,A0100,13353791.29824569,6685053.657310026,1195.160207515803,284.86225824835105,202.53693261846206,2,ALIVE
47.0,A0200,13354924.378053144,6685042.811243365,1208.3387285167337,288.8717076629783,201.09531242285453,2,ALIVE
47.0,B0100,13363087.75043585,6762421.698490347,1214.6838029426426,111.46651719170646,201.4314796021769,2,ALIVE
47.0,B0200,13364200.950435854,6762421.698490333,1214.68380294832,111.46651719178303,201.431479602203,2,ALIVE
48.0,A0100,13353594.743090384,6685069.419429054,1017.6362749892324,244.9840471839304,203.39272500781334,2,ALIVE
48.0,A0200,13354719.980510456,6685064.08446015,1035.4011533737064,249.41085097274686,201.72141105913815,2,ALIVE
48.0,B0100,13363297.671326945,6762396.213646936,1042.2343356491358,72.08365851622324,202.04402438175052,2,ALIVE
48.0,B0200,13364410.871326953,6762396.213646922,1042.234335654813,72.0836585162951,202.04402438177803,2,ALIVE
49.0,A0100,13353500.334133502,6685055.613186982,819.0498554302544,101.89202134304344,205.30017890516748,2,ALIVE
49.0,A0200,13354603.998680186,6685045.674973943,841.9028261218518,187.8867055282831,203.1827049878282,2,ALIVE
49.0,B0100,13363423.050558226,6762413.269422157,849.3092218737245,15.114100478601237,203.46886386531185,2,ALIVE
49.0,B0200,13364536.250558231,6762413.269422144,849.3092218782664,15.114100478716232,203.46886386534135,2,ALIVE
50.0,A0100,13353490.77594121,6685085.000580393,615.5892000077785,347.20704453310367,205.49606288460356,2,ALIVE
50.0,A0200,13354593.606392989,6685058.033443997,638.354660712263,355.5112723800771,203.98373747986133,2,ALIVE
50.0,B0100,13363436.969458746,6762404.06022087,644.5184726489067,173.60749770866593,208.52144115714887,2,ALIVE
50.0,B0200,13364550.169458749,6762404.060220856,644.5184726545841,173.6074977086136,208.52144115718107,2,ALIVE
51.0,A0100,13353397.148572931,6685151.815464566,426.41111591516733,300.26425627386215,205.61066029320833,2,ALIVE
51.0,A0200,13354530.3061732,6685120.676988787,446.3734273628265,309.9702000726804,204.07341142061756,2,ALIVE
51.0,B0100,13363460.029183295,6762363.947188021,436.76470085094275,187.20124099711316,213.73649610984734,2,ALIVE
51.0,B0200,13364573.229183296,6762363.947188007,436.76470085775554,187.20124099709847,213.7364961098822,2,ALIVE
52.0,A0100,13353217.373962063,6685175.097624121,242.4527720817268,250.89615370304853,205.7748068477394,2,ALIVE
52.0,A0200,13354360.205758104,6685155.413595006,263.6513392038971,261.15567524053995,204.12617861005512,2,ALIVE
52.0,B0100,13363482.36461215,6762337.998355874,220.62012566250266,110.98655300149315,218.94213532144101,2,ALIVE
52.0,B0200,13364595.56461215,6762337.998355859,220.62012566931546,110.98655300176885,218.94213532149368,2,ALIVE
53.0,A0100,13353085.221060788,6685145.14456677,47.07457147113383,237.98918106398264,209.48408391909086,2,ALIVE
53.0,A0200,13354206.741990287,6685129.653886384,74.1605014077723,242.01441519294852,207.6778673654018,2,ALIVE
53.0,B0100,13363488.682177125,6762315.8451136565,1.3165496492743494,231.89912727286372,206.07143103080242,2,ALIVE
53.0,B0200,13364601.882177126,6762315.845113642,1.3165496538162231,231.89912727280085,206.07143104603452,2,ALIVE
