步数,AO(角度偏差),TA(目标角度),距离(m),奖励,动作_ego,动作_enm
43,0.141920615,179.6099745,1471.241774,0.00364388,"[[5, 28, 32, 0]]","[[2, 7, 40, 19]]"
44,0.323225683,178.5877848,1380.769381,0.004182684,"[[5, 33, 21, 0]]","[[11, 37, 2, 11]]"
45,0.694518352,178.115307,1290.915541,0.005082385,"[[5, 4, 32, 0]]","[[11, 25, 2, 11]]"
46,1.443000792,178.0844628,1201.616679,0.006676112,"[[5, 4, 32, 0]]","[[11, 25, 2, 1]]"
47,2.95007241,178.1603346,1112.755112,0.009638165,"[[5, 4, 32, 0]]","[[19, 25, 29, 1]]"
48,5.207123914,178.2224105,1024.106694,0.013965687,"[[5, 1, 32, 21]]","[[19, 25, 29, 1]]"
49,7.511486736,178.3681142,935.6964669,0.018447926,"[[29, 0, 3, 9]]","[[19, 25, 29, 1]]"
50,9.576413663,178.5952889,847.540798,0.022606463,"[[35, 0, 4, 9]]","[[19, 25, 12, 1]]"
51,11.53823869,178.9174329,759.6204906,0.026711606,"[[36, 0, 3, 1]]","[[19, 25, 12, 1]]"
52,14.01937767,179.3925591,672.0545529,0.031897248,"[[8, 0, 13, 0]]","[[19, 25, 12, 1]]"
53,17.63576104,179.953452,585.1337297,0.039310686,"[[8, 0, 13, 22]]","[[38, 25, 12, 1]]"
54,22.37921777,178.6943849,499.1434506,0.049056235,"[[8, 0, 13, 22]]","[[21, 25, 35, 26]]"
55,27.78636753,176.2547601,414.7626367,0.060522453,"[[40, 0, 14, 8]]","[[11, 7, 40, 26]]"
56,34.74386474,172.109985,332.8501929,0.075616261,"[[8, 0, 3, 22]]","[[27, 7, 40, 26]]"
57,44.88980252,165.0032779,255.3020906,0.097855715,"[[8, 0, 14, 17]]","[[27, 7, 40, 26]]"
58,60.61246292,151.7734793,186.6937761,0.13242784,"[[29, 0, 14, 1]]","[[27, 7, 32, 26]]"
59,88.25718725,126.8089461,139.4717512,0.189632196,"[[6, 0, 3, 17]]","[[0, 33, 32, 19]]"
60,126.2950991,91.71049077,136.6295093,0.256755949,"[[6, 0, 19, 17]]","[[0, 33, 32, 19]]"
61,155.1473865,65.50490483,178.7750373,0.29859581,"[[6, 0, 17, 9]]","[[13, 33, 32, 19]]"
62,171.5454917,51.65667177,242.3226221,0.319952214,"[[11, 0, 32, 9]]","[[16, 33, 11, 9]]"
63,178.9075448,44.158833,313.5263417,0.328149491,"[[38, 0, 32, 3]]","[[10, 33, 11, 9]]"
64,172.7315027,39.7251373,387.5139288,0.314342896,"[[38, 0, 24, 3]]","[[10, 17, 11, 9]]"
65,167.7325153,36.79105471,462.5288075,0.303535282,"[[0, 0, 3, 22]]","[[10, 17, 9, 19]]"
66,162.9617578,34.86999474,537.6242384,0.293704832,"[[6, 0, 16, 4]]","[[21, 17, 9, 19]]"
67,158.8664949,33.87650359,611.994354,0.285431023,"[[29, 0, 24, 4]]","[[21, 32, 9, 19]]"
68,155.0539879,33.44041582,685.3897708,0.277904751,"[[0, 0, 16, 4]]","[[21, 32, 9, 19]]"
69,151.1074802,33.65240411,757.274639,0.270326222,"[[6, 0, 16, 4]]","[[21, 32, 9, 19]]"
70,147.7865128,34.37792186,827.2697052,0.263972805,"[[29, 0, 15, 4]]","[[21, 32, 9, 19]]"
71,144.3915276,35.43658673,895.3252907,0.257589089,"[[9, 0, 14, 22]]","[[21, 32, 9, 19]]"
72,140.7260024,36.72344229,961.0006322,0.25081071,"[[6, 0, 24, 4]]","[[21, 32, 9, 19]]"
73,137.5476987,38.15454868,1024.096255,0.244943613,"[[38, 0, 15, 4]]","[[21, 32, 9, 19]]"
74,134.1549894,39.57412134,1084.723863,0.23874985,"[[9, 0, 3, 22]]","[[21, 17, 9, 19]]"
75,130.3794836,40.64582093,1142.659095,0.231927059,"[[6, 0, 24, 4]]","[[21, 17, 9, 19]]"
76,127.0655135,41.2587256,1198.145501,0.225940793,"[[38, 0, 24, 4]]","[[21, 17, 9, 19]]"
77,123.483629,41.59587773,1251.637888,0.219511166,"[[0, 0, 16, 29]]","[[21, 17, 9, 19]]"
78,119.4763537,41.72832426,1302.943488,0.212360097,"[[9, 0, 24, 4]]","[[21, 17, 9, 19]]"
79,115.9427687,41.68233454,1352.157108,0.206053368,"[[38, 0, 24, 4]]","[[21, 17, 9, 19]]"
80,112.1547778,41.48872185,1399.604062,0.199316903,"[[0, 0, 16, 4]]","[[21, 17, 9, 19]]"
81,107.8180026,41.18507801,1445.032086,0.191635652,"[[4, 0, 17, 4]]","[[21, 17, 9, 19]]"
82,103.9663057,40.92796864,1488.506378,0.184812251,"[[29, 0, 17, 4]]","[[21, 33, 9, 19]]"
83,99.8050046,41.04233131,1530.141239,0.177458132,"[[0, 0, 14, 4]]","[[21, 33, 9, 19]]"
84,95.44504736,41.60334553,1569.453054,0.169766828,"[[29, 0, 17, 4]]","[[21, 33, 9, 19]]"
85,91.80994525,42.54290012,1606.483136,0.163349036,"[[29, 0, 17, 4]]","[[21, 33, 9, 19]]"
86,87.84625767,43.8200408,1641.181413,0.156365374,"[[0, 0, 14, 29]]","[[21, 33, 32, 19]]"
87,82.80610131,45.32442206,1672.880306,0.147510982,"[[7, 0, 34, 18]]","[[21, 33, 32, 19]]"
88,77.83938908,46.95576724,1701.085636,0.138792935,"[[29, 0, 13, 18]]","[[21, 33, 32, 19]]"
89,72.93312808,48.63850796,1725.886767,0.130187706,"[[0, 0, 14, 20]]","[[21, 33, 32, 7]]"
90,68.10599063,50.08386354,1747.087268,0.121727647,"[[29, 0, 13, 18]]","[[7, 33, 32, 7]]"
91,63.44660036,51.07077155,1765.083898,0.11356633,"[[0, 0, 13, 1]]","[[7, 33, 32, 7]]"
92,58.41046356,51.82940841,1779.881342,0.104753089,"[[0, 0, 13, 1]]","[[7, 33, 32, 7]]"
93,53.89267844,52.3713137,1791.712388,0.096849538,"[[29, 0, 4, 18]]","[[7, 33, 32, 7]]"
94,49.44169987,52.75069067,1801.011071,0.089066723,"[[0, 0, 13, 1]]","[[7, 33, 32, 7]]"
95,45.02798108,53.01999365,1807.773614,0.081352956,"[[29, 0, 13, 18]]","[[7, 33, 32, 7]]"
96,40.84991889,53.19038551,1812.25184,0.074054035,"[[0, 0, 13, 1]]","[[7, 33, 32, 7]]"
97,36.8382432,53.24834699,1814.476207,0.067048962,"[[29, 0, 13, 1]]","[[7, 33, 32, 7]]"
98,33.89617066,53.21186681,1814.837134,0.061913529,"[[33, 0, 13, 1]]","[[7, 25, 32, 7]]"
99,31.31608309,53.10297135,1813.573792,0.057412344,"[[7, 0, 13, 28]]","[[7, 25, 32, 7]]"
100,28.36226649,52.91899398,1810.535269,0.052261583,"[[7, 0, 13, 1]]","[[7, 32, 32, 7]]"
101,25.23488377,52.63983996,1805.755461,0.046810572,"[[33, 0, 13, 1]]","[[7, 32, 32, 7]]"
102,22.17900208,52.25760302,1799.528817,0.041486623,"[[0, 0, 13, 1]]","[[7, 32, 32, 7]]"
103,19.10691025,51.76138852,1791.964004,0.036136528,"[[39, 0, 13, 1]]","[[7, 40, 32, 7]]"
104,16.78406171,51.15442749,1783.410414,0.03209576,"[[32, 0, 13, 1]]","[[7, 40, 32, 7]]"
105,14.81052551,50.44757026,1774.048226,0.028666068,"[[7, 0, 13, 28]]","[[7, 40, 32, 7]]"
106,12.59006206,49.62404996,1763.880787,0.024806856,"[[7, 0, 13, 1]]","[[13, 40, 32, 7]]"
107,10.08988042,48.70289136,1753.055092,0.020460701,"[[25, 0, 13, 18]]","[[13, 40, 32, 7]]"
108,8.042057742,47.69273141,1741.820074,0.016904952,"[[25, 0, 13, 1]]","[[13, 25, 35, 7]]"
109,6.152132332,46.58644987,1730.442344,0.013625262,"[[0, 0, 13, 1]]","[[13, 25, 36, 7]]"
110,4.214324601,45.38866181,1718.980451,0.010262394,"[[25, 0, 13, 18]]","[[13, 25, 36, 7]]"
111,2.574822207,44.10597568,1707.513452,0.007420433,"[[25, 0, 13, 18]]","[[13, 25, 36, 7]]"
112,0.991081478,42.73288957,1696.136712,0.004675902,"[[7, 0, 4, 18]]","[[13, 25, 36, 7]]"
113,0.704684731,41.26020639,1684.977919,0.004195545,"[[19, 0, 4, 18]]","[[13, 25, 36, 7]]"
114,2.335192866,39.75103195,1674.15407,0.00706048,"[[27, 0, 7, 19]]","[[13, 25, 36, 7]]"
115,3.817602985,38.24274176,1663.725175,0.009666473,"[[20, 0, 15, 19]]","[[13, 25, 36, 9]]"
116,5.32263885,36.68513931,1653.835556,0.012311206,"[[20, 0, 15, 19]]","[[13, 40, 36, 9]]"
117,6.80829789,35.19398284,1644.575119,0.014921173,"[[20, 0, 15, 19]]","[[2, 40, 9, 9]]"
118,8.208879739,33.74805139,1635.939079,0.017381679,"[[39, 0, 15, 19]]","[[2, 15, 9, 9]]"
119,9.359421577,32.6868358,1627.803039,0.019405011,"[[39, 0, 15, 19]]","[[2, 15, 9, 9]]"
120,10.27097978,32.17165234,1620.032337,0.021010696,"[[39, 0, 13, 19]]","[[2, 3, 9, 9]]"
121,10.84747343,31.99099221,1612.550712,0.022031169,"[[20, 0, 18, 19]]","[[2, 15, 9, 9]]"
122,11.39578482,31.66297361,1605.475726,0.0230018,"[[39, 0, 9, 19]]","[[2, 15, 9, 9]]"
123,11.89473386,30.85451814,1598.930647,0.023885362,"[[23, 0, 9, 19]]","[[2, 15, 9, 9]]"
124,12.26909759,29.48438615,1593.192301,0.024549999,"[[23, 0, 9, 19]]","[[2, 15, 32, 11]]"
125,12.54483299,27.7332724,1588.437854,0.02504063,"[[23, 0, 9, 19]]","[[2, 25, 32, 11]]"
126,12.70596992,25.93958113,1584.717065,0.025329249,"[[23, 0, 6, 19]]","[[2, 25, 32, 11]]"
127,12.74416889,24.38241006,1581.967765,0.025401395,"[[23, 0, 6, 19]]","[[2, 25, 32, 11]]"
128,12.66075918,23.49869665,1580.035085,0.025259679,"[[23, 0, 6, 23]]","[[38, 25, 32, 11]]"
129,12.64402935,23.49115495,1578.674252,0.025233204,"[[33, 0, 13, 23]]","[[38, 25, 32, 7]]"
130,12.60117112,24.1769766,1577.650019,0.025160456,"[[33, 0, 13, 18]]","[[38, 25, 32, 7]]"
131,12.40165482,25.11463599,1576.888531,0.024813763,"[[33, 0, 13, 20]]","[[38, 25, 32, 7]]"
132,11.89139102,25.84680112,1576.411701,0.023924142,"[[25, 0, 13, 20]]","[[38, 25, 32, 7]]"
133,11.36541926,26.26761309,1576.289921,0.023006393,"[[25, 0, 13, 20]]","[[38, 25, 32, 7]]"
134,10.75186324,26.26441492,1576.61111,0.02193489,"[[25, 0, 13, 20]]","[[38, 25, 32, 11]]"
135,9.996613239,25.7755553,1577.492857,0.02061496,"[[25, 0, 13, 29]]","[[2, 25, 32, 11]]"
136,9.115578818,25.04270779,1578.968253,0.019074307,"[[25, 0, 13, 29]]","[[2, 25, 32, 11]]"
137,8.118632084,24.19322994,1580.979409,0.017330283,"[[25, 0, 13, 29]]","[[2, 25, 32, 11]]"
138,7.015579837,23.26348203,1583.446013,0.015400174,"[[25, 0, 2, 29]]","[[2, 25, 32, 11]]"
139,5.428564535,22.44801745,1586.275103,0.012624685,"[[2, 0, 2, 29]]","[[2, 25, 32, 11]]"
140,3.346119223,21.73373296,1589.551029,0.008983644,"[[2, 17, 2, 29]]","[[2, 25, 32, 11]]"
141,2.078659736,21.25911154,1593.407977,0.006763906,"[[25, 30, 2, 28]]","[[7, 25, 32, 11]]"
142,2.038624716,21.07738848,1597.509904,0.006685984,"[[40, 30, 2, 12]]","[[38, 25, 32, 7]]"
143,2.897995333,21.53840461,1601.445914,0.008178186,"[[40, 30, 2, 2]]","[[38, 25, 32, 7]]"
144,3.757206797,22.65524833,1605.113971,0.009670667,"[[25, 17, 2, 1]]","[[38, 25, 32, 7]]"
145,4.042678096,23.91917126,1608.541352,0.010162279,"[[25, 7, 2, 28]]","[[38, 25, 32, 7]]"
146,4.045585873,24.9153428,1611.647079,0.010161372,"[[25, 7, 2, 28]]","[[38, 25, 32, 7]]"
147,3.750736203,25.45024228,1614.528354,0.009641232,"[[25, 7, 2, 1]]","[[38, 25, 32, 7]]"
148,3.407572985,25.33087188,1617.415072,0.009036779,"[[25, 17, 2, 1]]","[[27, 25, 32, 11]]"
149,2.841320739,24.82417506,1620.455242,0.00804269,"[[6, 17, 2, 1]]","[[2, 25, 32, 11]]"
150,1.649246588,24.16544658,1623.734396,0.005955904,"[[6, 17, 2, 1]]","[[2, 25, 32, 26]]"
151,0.230035282,23.45010539,1627.373209,0.003472036,"[[6, 30, 33, 1]]","[[2, 25, 32, 26]]"
152,0.160815741,22.88529057,1631.347313,0.00334375,"[[16, 30, 33, 1]]","[[2, 25, 32, 26]]"
153,0.744440983,22.38018806,1635.425767,0.004354734,"[[33, 37, 5, 0]]","[[2, 25, 11, 26]]"
154,2.576823952,22.02612415,1639.390531,0.007545461,"[[31, 20, 2, 2]]","[[7, 25, 21, 26]]"
155,4.650641843,21.8591755,1643.115633,0.01115805,"[[40, 12, 2, 1]]","[[38, 25, 21, 7]]"
156,6.180669847,22.34949696,1646.668755,0.013821894,"[[40, 0, 2, 1]]","[[38, 25, 35, 7]]"
157,6.83603951,23.5862345,1650.072314,0.014959475,"[[32, 0, 37, 1]]","[[38, 25, 35, 7]]"
158,7.012439442,24.90825315,1653.185221,0.015261652,"[[32, 7, 37, 1]]","[[38, 25, 35, 7]]"
159,6.81806714,25.76430917,1655.968005,0.014917332,"[[6, 7, 2, 1]]","[[38, 25, 35, 7]]"
160,5.991316261,25.86549084,1658.484234,0.013469804,"[[6, 7, 2, 1]]","[[21, 25, 35, 7]]"
161,4.453287959,25.80993623,1660.937137,0.010780991,"[[6, 14, 37, 1]]","[[27, 25, 35, 26]]"
162,2.650715656,25.61236532,1663.473798,0.007630324,"[[0, 14, 37, 1]]","[[2, 25, 35, 26]]"
163,1.235990142,25.05860701,1666.316446,0.005156041,"[[0, 30, 37, 1]]","[[2, 12, 11, 26]]"
164,0.822083779,23.91389275,1669.67949,0.004427601,"[[16, 17, 33, 2]]","[[2, 12, 11, 26]]"
165,1.301063244,22.33192131,1673.597088,0.005256577,"[[25, 17, 33, 2]]","[[2, 12, 11, 26]]"
166,2.199706457,21.00498561,1677.855951,0.006817431,"[[40, 6, 33, 11]]","[[21, 25, 35, 26]]"
167,2.965841132,20.60280428,1682.153123,0.008146984,"[[40, 6, 18, 11]]","[[21, 25, 35, 7]]"
168,3.366803344,20.92670978,1686.407778,0.008839305,"[[40, 12, 13, 3]]","[[38, 25, 35, 7]]"
169,3.591165264,21.86123157,1690.645522,0.009223468,"[[32, 8, 13, 1]]","[[38, 25, 35, 7]]"
170,3.780583198,22.72754267,1694.787464,0.009546845,"[[32, 12, 37, 1]]","[[38, 25, 35, 7]]"
171,4.052844559,23.04990589,1698.789695,0.010015089,"[[32, 14, 37, 1]]","[[21, 25, 35, 7]]"
172,4.424629718,23.06187249,1702.760635,0.01065712,"[[32, 14, 37, 1]]","[[21, 25, 35, 26]]"
173,4.885461732,23.30231193,1706.688107,0.011454674,"[[32, 14, 37, 1]]","[[21, 25, 35, 26]]"
174,5.177021653,23.66096168,1710.488639,0.011957041,"[[6, 14, 37, 1]]","[[21, 25, 35, 26]]"
175,4.965499595,23.95680115,1714.139474,0.011581647,"[[4, 14, 37, 1]]","[[21, 12, 35, 26]]"
176,4.089519328,23.49011357,1717.831975,0.01004651,"[[4, 14, 37, 1]]","[[0, 12, 35, 26]]"
177,2.800718307,22.58837821,1721.938005,0.007790195,"[[4, 14, 37, 1]]","[[21, 12, 35, 26]]"
178,1.513783951,21.91890715,1726.60231,0.005536236,"[[0, 14, 37, 1]]","[[31, 12, 35, 26]]"
179,0.798943348,21.09239512,1731.899555,0.004279757,"[[16, 30, 37, 1]]","[[31, 12, 35, 26]]"
