Time_s,Agent_ID,Type,X_m,Y_m,Z_m,Heading_deg,Pitch_deg,Velocity_m_s,Tactical_Phase
119.0,B0100,F-16,2426.518172026135,9721.02700511266,3009.9020257713823,152.47434309544974,-2.611999339798453,345.530970307436,TR_DOR
119.0,B0200,F-16,1242.7449932924133,-869.8095618995003,4075.1057693020816,174.71971082604432,-0.4809189095222648,337.9992201439776,TR_DOR
119.2,A0100,F-16,-27425.913616075184,1233.8237460094988,5908.567655865865,177.94913414931727,5.907463575743946,242.43707728511384,TR_DOR
119.2,A0200,F-16,-27006.683990896898,-488.3637408545219,6004.9713193259295,180.8828005180705,-7.584501794448582,164.74276221596855,TR_DOR
119.2,B0100,F-16,2364.9098783536883,9752.329338882395,3006.3785483103657,152.27544141575922,-2.271970070118892,346.40042017001787,TR_DOR
119.2,B0200,F-16,1175.40681991782,-863.870548475024,4075.443247763314,174.6501677088272,-0.2466581295085802,338.0201570190327,TR_DOR
119.4,A0100,F-16,-27474.337622642142,1234.990776265764,5908.559258000834,178.18012641444042,4.023806128638859,242.10863713916117,TR_DOR
119.4,A0200,F-16,-27039.596919564778,-489.2530716341971,6002.896928828352,180.64416662704784,-3.421495181483144,165.20236549225697,TR_DOR
119.4,B0100,F-16,2303.279866727392,9783.935059523956,3002.654479708858,152.39235230272078,-1.970997491970366,347.20847484674664,TR_DOR
119.4,B0200,F-16,1108.0526759729642,-857.8979427844599,4075.72010771287,174.6408427254702,-0.47668273888550716,338.18941773892686,TR_DOR
119.60000000000001,A0100,F-16,-27522.747117429462,1236.1367093215795,5908.745363121481,178.03364926977645,0.6036720250790676,242.07858719695489,TR_DOR
119.60000000000001,A0200,F-16,-27072.593982005004,-490.12158026011275,6000.582138602987,180.48989349419193,2.226845152274208,165.6730409386824,TR_DOR
119.60000000000001,B0100,F-16,2241.572196929705,9815.730034602162,2998.891339048253,152.71630309590924,-1.8043966541022203,347.9804173648294,TR_DOR
119.60000000000001,B0200,F-16,1040.6861244504512,-851.914815874894,4075.933603531219,174.48966880969328,-0.2874414207113478,338.05907718297084,TR_DOR
119.80000000000001,A0100,F-16,-27571.115565072934,1237.2786416711824,5908.845772917586,177.61586529055194,-1.962033840163785,241.64943572477438,TR_DOR
119.80000000000001,A0200,F-16,-27105.670917972475,-490.9863429576799,5998.451506495841,180.74611105376866,7.272312022996585,165.81334700835976,TR_DOR
119.80000000000001,B0100,F-16,2179.7054389911614,9847.549580851157,2995.1021634719646,153.1973023782571,-1.8122147764938856,348.7539896184024,TR_DOR
119.80000000000001,B0200,F-16,973.3536443163706,-845.8994809267193,4076.292281295646,174.5879113908327,-0.5046394970946707,338.04165185954025,TR_DOR
120.0,A0100,F-16,-27619.40012751644,1238.4472574712236,5908.735776156232,177.85023226257107,-0.8571756454314292,241.44891079926657,TR_DOR
120.0,A0200,F-16,-27138.756165205607,-491.8895377784811,5996.935666594958,181.07587435712068,10.964963838740154,165.4339803340462,TR_DOR
120.0,B0100,F-16,2117.630441369978,9879.294689608234,2991.1893494575465,153.7804705347064,-2.097690685006933,349.56472834663293,TR_DOR
120.0,B0200,F-16,906.0170951974126,-839.8425412539292,4076.5682793922833,174.52412144167386,-0.28164622834702596,338.0632187428873,TR_DOR
120.2,A0100,F-16,-27667.67819644932,1239.618647075793,5908.51213846508,177.88828668982865,3.1692841355806203,241.34621338606283,TR_DOR
120.2,A0200,F-16,-27171.75739890883,-492.78359739499683,5996.2902537323425,181.20460611709993,13.14678237856854,164.77180967418866,TR_DOR
120.2,B0100,F-16,2055.336325116208,9910.951270182903,2987.053739762873,154.26748094848207,-2.7562177552274316,350.4309381137044,TR_DOR
120.2,B0200,F-16,838.6646180379503,-833.7526212132717,4076.790004499646,174.51613342397562,-0.5152824366158677,338.23206402040944,TR_DOR
120.4,A0100,F-16,-27715.885239777734,1240.7987092681797,5908.73381161525,178.19620213151734,3.1271643318092877,240.99469486512618,TR_DOR
120.4,A0200,F-16,-27204.648941848947,-493.6197211133149,5996.311397662059,181.2794707283361,12.156417217301655,164.31840054927227,TR_DOR
120.4,B0100,F-16,1992.819980199618,9942.526225901887,2982.6333779775855,154.36869859788894,-3.6737368111364193,351.34606847987556,TR_DOR
120.4,B0200,F-16,771.2998920810339,-827.6532797743014,4076.9509689658844,174.36940600179358,-0.325278554130457,338.1005827411117,TR_DOR
120.60000000000001,A0100,F-16,-27764.07178829919,1241.9675183747804,5908.928802627625,178.03366679207315,-0.8247329488319988,240.966370472107,TR_DOR
120.60000000000001,A0200,F-16,-27237.482766470708,-494.4107496146935,5996.753198630517,181.3199397302803,9.259009969273762,164.19063165177323,TR_DOR
120.60000000000001,B0100,F-16,1930.0808071320935,9974.019757815155,2977.8520557001207,153.96495260302993,-4.49667009700427,352.2823672784912,TR_DOR
120.60000000000001,B0200,F-16,703.9691142122406,-821.524834760924,4077.259265571207,174.4684106192338,-0.5437515681184611,338.0821867200471,TR_DOR
120.80000000000001,A0100,F-16,-27812.20942962214,1243.1447701964971,5908.844141416625,177.6344626064093,-3.289456836689562,240.48205380403584,TR_DOR
120.80000000000001,A0200,F-16,-27270.31993670691,-495.17236199028775,5997.345397562071,181.44602022758764,5.857624426387781,164.3850227775111,TR_DOR
120.80000000000001,B0100,F-16,1867.1539995065602,10005.480651942116,2972.600340670314,153.2678607226284,-4.888878734789195,353.2027064861255,TR_DOR
120.80000000000001,B0200,F-16,636.6344725676345,-815.3560992476868,4077.4862755527324,174.40927741392474,-0.31944549666707917,338.10289907258107,TR_DOR
121.0,A0100,F-16,-27860.25723713963,1244.3579317704261,5908.384473302449,177.95504719943116,-2.2230097765230705,240.28565017590032,TR_DOR
121.0,A0200,F-16,-27303.218305290633,-495.930090122376,5997.772258628908,181.6110065688282,2.420896039547458,164.71832572230144,TR_DOR
121.0,B0100,F-16,1804.1251031925478,10037.048015764192,2966.8222516324195,152.6588938192237,-4.801005359151227,354.0739870604655,TR_DOR
121.0,B0200,F-16,569.2840298410313,-809.156172483271,4077.659979167609,174.40144269319302,-0.5521481905077004,338.2706905240826,TR_DOR
121.2,A0100,F-16,-27908.300587631013,1245.572056277093,5907.660771702885,177.96821379403656,1.8594905095059078,240.25066541793703,TR_DOR
121.2,A0200,F-16,-27336.181604577592,-496.7049156421981,5997.87780015756,181.42313633025333,-0.975819727376984,164.97395229479505,TR_DOR
121.2,B0100,F-16,1741.0835911093175,10068.883397311847,2960.6131925238574,152.3885664316295,-4.456584773446007,354.8777330739105,TR_DOR
121.2,B0200,F-16,501.92142045130754,-802.9487385537154,4077.7734665850444,174.25898807145614,-0.3596785016341707,338.1382583124341,TR_DOR
121.4,A0100,F-16,-27956.308841031576,1246.8013728797687,5907.452530206179,178.2581803895663,5.68981541265484,240.07687177670235,TR_DOR
